date,mean_temp,rain,wind_speed,abnormal_rain,high_temp,low_temp,high_wind
01/01/2011,0.0,0.0,0.0,0,0,1,0
02/01/2011,0.0,0.0,0.0,0,0,1,0
03/01/2011,0.0,0.0,0.0,0,0,1,0
04/01/2011,5.7,0.0,0.3,0,0,0,0
05/01/2011,5.1,0.6,0.3,0,0,1,0
06/01/2011,4.5,0.1,0.3,0,0,1,0
07/01/2011,2.9,1.4,0.0,0,0,1,0
08/01/2011,4.2,0.8,0.5,0,0,1,0
09/01/2011,4.7,0.1,0.8,0,0,1,0
10/01/2011,5.9,0.3,0.1,0,0,0,0
11/01/2011,6.2,0.0,0.8,0,0,0,0
12/01/2011,8.3,0.1,0.1,0,0,0,0
13/01/2011,11.5,0.0,0.4,0,0,0,0
14/01/2011,10.1,0.0,0.5,0,0,0,0
15/01/2011,10.8,0.0,1.0,0,0,0,0
16/01/2011,10.6,0.1,1.0,0,0,0,0
17/01/2011,7.6,0.0,0.1,0,0,0,0
18/01/2011,4.9,0.0,0.5,0,0,1,0
19/01/2011,4.9,0.1,0.7,0,0,1,0
20/01/2011,2.3,0.0,0.4,0,0,1,0
21/01/2011,1.2,0.0,0.5,0,0,1,0
22/01/2011,4.7,0.0,0.8,0,0,1,0
23/01/2011,6.8,0.0,1.3,0,0,0,0
24/01/2011,6.5,0.0,1.3,0,0,0,0
25/01/2011,7.9,0.0,1.0,0,0,0,0
26/01/2011,5.7,0.1,1.1,0,0,0,0
27/01/2011,4.6,0.0,0.1,0,0,1,0
28/01/2011,4.6,0.0,0.1,0,0,1,0
29/01/2011,2.6,0.0,0.2,0,0,1,0
30/01/2011,4.3,0.0,0.2,0,0,1,0
31/01/2011,3.7,0.0,0.2,0,0,1,0
01/02/2011,7.4,0.0,0.5,0,0,0,0
02/02/2011,8.8,0.0,1.1,0,0,0,0
03/02/2011,7.0,0.8,1.3,0,0,0,0
04/02/2011,10.7,1.3,2.2,0,0,0,0
05/02/2011,9.7,2.6,0.7,1,0,0,0
06/02/2011,10.7,0.8,0.7,0,0,0,0
07/02/2011,8.7,0.0,1.5,0,0,0,0
08/02/2011,6.3,0.0,0.1,0,0,0,0
09/02/2011,9.0,0.0,0.0,0,0,0,0
10/02/2011,9.1,0.0,0.3,0,0,0,0
11/02/2011,8.2,1.0,0.0,0,0,0,0
12/02/2011,8.1,1.0,0.2,0,0,0,0
13/02/2011,8.0,0.3,0.1,0,0,0,0
14/02/2011,7.3,0.0,0.1,0,0,0,0
15/02/2011,6.2,0.1,0.2,0,0,0,0
16/02/2011,7.5,0.2,0.0,0,0,0,0
17/02/2011,6.8,0.0,0.0,0,0,0,0
18/02/2011,5.3,0.0,0.2,0,0,0,0
19/02/2011,4.0,2.1,0.1,1,0,1,0
20/02/2011,5.2,0.0,0.1,0,0,0,0
21/02/2011,4.6,0.3,0.1,0,0,1,0
